abandona,abandon - abbandono
abate,stray - battere
abdica,abdicate - abdicare
absolvi,absolve - laureato
accelera,accelerate - accelerare
acera,wait for - Accra
aciua,take or find shelter - riparato
acoperi,cover - copertina
acri,make sour - acido
activa,activate - attivare
acumula,accumulate - accumulare
acuza,accuse - accusare
adăpa,water - bere
adăsta,wait - Aspetta
adăuga,add - aggiungere
adânci,deepen - approfondire
ademeni,seduce - adescare
adeveri,confirm - testimoniare
adia,blow softly - soffio
admira,admire - ammirare
adopta,adopt - adottare
adora,love - adorare
adormi,fall asleep - sonno
aduce,bring - Portare
adulmeca,sniff - annusare
adumbri,shade - adumbrato
aduna,gather - raccogliere
aera,air - Aera
aerisi,air - ventilare
afâna,loosen - allentare
afla,find out - scoprire
afuma,smoke - Fumo
afunda,plunge - lavello
afurisi,damn - scomunicare
agăța,suspend - appendere
aiura,be delirious - delirio
ajuna,fast - vigilia
ajunge la majorat,come of age - Raggiunge la maggioranza
ajunge,overtake - è abbastanza
ajuta,help - aiuta
alăpta,suckle - Succhiare
albi,whiten - candeggina
alcătui,make - comporre
alege,choose - scegliere
alerga,run - correre
alina,allay - allineare
alinta,caress - carezza
aluneca,slip - scivolare
alunga,banish - cacciare via
amaneta,pawn - impegnare
amăgi,delude - ingannare
amărî,embitter - allargare
amâna,delay - rimandare
amenința,threaten - minacciare
amesteca,mix - Mescolare
ameți,make dizzy - Ottieni le vertigini
aminti,remind - mentire
amorți,benumb - intorpidire
amuți,become mute - stupido
analiza,analyze - analizzare
angaja,employ - assumere
anihila,annihilate - annientare
anima,anima - animare
anina,hook - appendere
apăra,protect - difendere
apărea,appear - apparire
apăsa,press - premere
aplauda,applaud - applaudire
apleca,bend - Lasciare
aplica,apply - fare domanda a
aprinde,light - presa
apropia,approach - approccio
apuca,grab - afferra
apune,fade - Mettere
ara,plough - aratro
arăduce,represent - porta
arăta,show - perdere
arde,burn - bruciare
arma,prepare a weapon for firing - arma
articula,articulate - articolare
arunca,throw - GETTARE
asculta,listen - Ascoltare
ascunde,hide - nascondere
ascuți,sharpen - Affilare
asemăna,compare - assomigliare
asigura,ensure - garantire
asimila,assimilate - assimilare
astâmpăra,calm down - placare
astruca,bury a dead person - Astruc
astupa,stop - tappo
asuda,sweat - Saldare
asurzi,deafen - per diventare sordo
așeza,seat - posto
aștepta,wait for - Aspettare
așterne,spread or stretch over a surface - diffusione
ataca,attack - attacco
atârna,hang - appendere
atinge,reach - Toccante
atrage,attract - attirare
ațâța,incite - Abet
aține,lie in wait for someone by following them closely - tenere
ațipi,doze - posticipare
augura,augur - Augura
auri,cover in a thin layer of gold - odiare
auzi,hear - ascoltare
avansa,advance - avanzare
